rank,track_id,track_name,artist_names,album_name,duration_ms,explicit,popularity
1,5eY6u8ztWSB1URBBnfJIy7,INTRO ASCARI,"EAZYBOI, Bigla The Kid",ASCARI,113150,False,27
2,2wkM6ksIQmiIht3P9cwwV1,ALL NIGHT,"EAZYBOI, Bigla The Kid",ASCARI,177709,False,31
3,51sjjUw21urcdtgD9HzJK6,ABAMA Jr. Suite,"Cruz Cafuné, LEÏTI",Me Muevo Con Dios,165250,True,53
4,4VVF8LZLbTb2r4xM1B0BYX,Av. Rafaela Ybarra,"Ill Pekeño, Ergo Pro",Av. Rafaela Ybarra,171428,True,41
5,5x5xSIlRUk203C56lWB5xt,POWER,"EAZYBOI, Bigla The Kid",ASCARI,137189,True,28
6,3UaWEFGSdbzWAMBUcdIMeR,RE-UP,"Cruz Cafuné, Kris Floyd",Me Muevo Con Dios,205500,True,48
7,3aj5hPVEc4TcLAXkklTYVp,CHICANE INTERLUDE,"EAZYBOI, DAYTXNA",ASCARI,56551,False,26
8,12Q6wX7zerBTPcVeMXtwMP,YA NO,"EAZYBOI, La Pantera, Bigla The Kid",ASCARI,166320,True,44
9,05KGFnOT2Bh7ETNxTkwfZH,SE LO BUSCAN,"EAZYBOI, J.Moods",ASCARI,180689,False,27
10,1Hrucz5n0cjYuPApCk8VkL,Movezz en silencio,Cruz Cafuné,Me Muevo Con Dios,180374,True,63
11,2ShEngDMH3Y4ZQCnUNxz6F,Aimbot,Hoke,TRES CREUS,103225,True,50
12,4StD62eazdR5f0EyriuOeL,LORD,"EAZYBOI, Bigla The Kid",ASCARI,107586,True,29
13,2eOa1UyX6OTLeRvvMG7GGe,FAXXXxxx,Cruz Cafuné,Me Muevo Con Dios,143584,True,48
14,2ai6EWfg3ECmz22y3gtJCO,SUERTE,"EAZYBOI, DAYTXNA",ASCARI,166057,False,35
15,586b933KakijFugWXuLYpi,BRUCE WAYNE,"EAZYBOI, Bigla The Kid",ASCARI,109518,True,33
16,6cXHF8fJkCtuinr01f3b5e,AMG,"Ill Pekeño, Ergo Pro",AMG,196363,False,27
17,0GIdaVAY3go0PhjNFmAyfA,Close friends ☆,Cruz Cafuné,Me Muevo Con Dios,126124,True,51
18,6zXVgGdE1mh6OEl10kshjE,LUISAViAROMA,"Cruz Cafuné, LaBlackie",Me Muevo Con Dios,193000,True,49
19,43ewGV0oj5m9zG0DDkokXD,ME VENDISTE,"EAZYBOI, Natos y Waor, Bigla The Kid",ASCARI,220379,True,35
20,7AVu6f1pb1igYHQR6jd64w,BARBARA LENNIE,"EAZYBOI, Bigla The Kid",ASCARI,141500,False,29
21,5IcTz6BWLZ8LlH6VK2zunF,PESADILLAS,"EAZYBOI, Bigla The Kid",ASCARI,179012,False,27
22,3vMviI1hKkWDEnGSGo2zYK,G CLASS,"EAZYBOI, Bigla The Kid",ASCARI,124725,False,34
