rank,track_id,track_name,artist_names,album_name,duration_ms,explicit,popularity
1,51sjjUw21urcdtgD9HzJK6,ABAMA Jr. Suite,"Cruz Cafuné, LEÏTI",Me Muevo Con Dios,165250,True,53
2,1Hrucz5n0cjYuPApCk8VkL,Movezz en silencio,Cruz Cafuné,Me Muevo Con Dios,180374,True,63
3,2eOa1UyX6OTLeRvvMG7GGe,FAXXXxxx,Cruz Cafuné,Me Muevo Con Dios,143584,True,48
4,6zXVgGdE1mh6OEl10kshjE,LUISAViAROMA,"Cruz Cafuné, LaBlackie",Me Muevo Con Dios,193000,True,49
5,74Y6PcHH1FU0ZXb34GHbsB,Ja Morant,Cruz Cafuné,Me Muevo Con Dios,193165,True,51
6,0GIdaVAY3go0PhjNFmAyfA,Close friends ☆,Cruz Cafuné,Me Muevo Con Dios,126124,True,51
7,0ojp3rI6wfc6GjATk2SEir,Me Muevo Con Dios,Cruz Cafuné,Me Muevo Con Dios,387367,True,53
8,3UaWEFGSdbzWAMBUcdIMeR,RE-UP,"Cruz Cafuné, Kris Floyd",Me Muevo Con Dios,205500,True,48
9,05KGFnOT2Bh7ETNxTkwfZH,SE LO BUSCAN,"EAZYBOI, J.Moods",ASCARI,180689,False,27
10,2wkM6ksIQmiIht3P9cwwV1,ALL NIGHT,"EAZYBOI, Bigla The Kid",ASCARI,177709,False,31
11,6m7cwNcYKz8AGOMTaH6xzP,Retro 11s,Cruz Cafuné,Me Muevo Con Dios,194875,True,58
12,0jcEN9yYRlXrTW3ysrOI0Y,s3_e07_theboondocks_dvdrip.mpeg,Cruz Cafuné,Me Muevo Con Dios,135224,True,51
13,40irSq1hoBAZuPLgxiQ7ge,Sangre y Fe,"Cruz Cafuné, Quevedo",Me Muevo Con Dios,231500,True,57
14,5x5xSIlRUk203C56lWB5xt,POWER,"EAZYBOI, Bigla The Kid",ASCARI,137189,True,28
15,3aj5hPVEc4TcLAXkklTYVp,CHICANE INTERLUDE,"EAZYBOI, DAYTXNA",ASCARI,56551,False,26
